Scrape version,scrape_phase,creator_username,niche,post_id,post_url,post_type,posted_at,scraped_at,caption,hashtags,hashtag_count,views,likes,comments_count,shares,scrape_mode,,,,,,,,,,,,,,,,
1,post_content,tarini_shah,null,DUDaHSLgo3-,https://www.instagram.com/Tarini_shah/reel/DUDaHSLgo3-/,reel,6d,2026-02-03T23:00:00+05:30,#diwalilook2025,#diwalilook2025,1,null,37.8K,178,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DUQrWURjxhG,https://www.instagram.com/Khushiiimalhotra/reel/DUQrWURjxhG/,reel,1 day ago,2026-02-03T23:00:00+05:30,"When all your makeup finishes together AND your budget says no 😭 But the sale says YES 😌🔥 No situationship. No stress. Just me, my girls, and a good glam routine 💄✨ Flipkart Lovestruck Sale is LIVE Up to 70% OFF on makeup & fragrance 🛒 #FlipkartLovestruckSale #flipkartbeauty #GirlsDayOut #MakeupDeals #FragranceDeals",#FlipkartLovestruckSale #flipkartbeauty #GirlsDayOut #MakeupDeals #FragranceDeals,5,null,1K,30,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DTVIKGyj7vM,https://www.instagram.com/Khushiiimalhotra/reel/DTVIKGyj7vM/,reel,Jan-10,2026-02-03T23:00:00+05:30,Comment for link <3🔗 . . . #fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #lipbalm #khushimalhotra #travel,#fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #lipbalm #khushimalhotra #travel,4,null,5.2K,216,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DQQ20K4j81l,https://www.instagram.com/Khushiiimalhotra/reel/DQQ20K4j81l/,reel,26-Oct-25,2026-02-03T23:00:00+05:30,Festive season toh gaya but wedding season is still going strong guys ✨ Koi to bula lo apni shaadi-vaadi me yaar 😅 . . . Outfit from @_titliyan_bykk 💗 . Makeup Details 💅 Cream Blush @paccosmetic Flamingo Eyeshadow palettes used @makeuprevolutionindia maxi reloaded @reachedmars 03 imperial Highlighter @anastasiabeverlyhills sugar glow kit Brow laminating gel @elfcosmetics Concealer @reachedmars Dreamy beige Loose powder @kaybykatrina Mascara @logfaced,null,0,null,19.2K,1.6K,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DUNG2qvD6q_,https://www.instagram.com/Khushiiimalhotra/reel/DUNG2qvD6q_/,reel,2 days ago,2026-02-03T23:00:00+05:30,Comment for outfit link 🔗 . . . Outfit @savana @savanaonyou . . . #reddress #valentines #fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #trending,#reddress #valentines #fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #trending,4,null,3.2K,140,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DUK6skxDTuZ,https://www.instagram.com/Khushiiimalhotra/reel/DUK6skxDTuZ/,reel,3 days ago,2026-02-03T23:00:00+05:30,#fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #capcut #explore #trending,#fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #capcut #explore #trending,4,null,4.9K,63,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DUH_J16D6jU,https://www.instagram.com/Khushiiimalhotra/reel/DUH_J16D6jU/,reel,4 days ago,2026-02-03T23:00:00+05:30,Would YOU wear a saree if he asked? . . . Saree @mysilklove . . . #explore #saree #valentines #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,#explore #saree #valentines #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,4,null,7K,276,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DUC5427j5uk,https://www.instagram.com/Khushiiimalhotra/reel/DUC5427j5uk/,reel,5d,2026-02-03T23:00:00+05:30,GRWM me in this prettiest LEHANGA❤️ . . . . Outfit @seambyseema . . . #explore #lehanga #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppp #trending,#explore #lehanga #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppp #trending,3,null,7.2K,207,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DUAMF1eDwYj,https://www.instagram.com/Khushiiimalhotra/reel/DUAMF1eDwYj/,reel,1w,2026-02-03T23:00:00+05:30,It's backless 🤭💜 . . . . Outfit @_tailormade_ . . . #explore #lehanga #trending #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppp,#explore #lehanga #trending #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppp,3,null,7.8K,123,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DT2eHcJj3AT,https://www.instagram.com/Khushiiimalhotra/reel/DT2eHcJj3AT/,reel,Jan-23,2026-02-03T23:00:00+05:30,Comment before I overthink this 😳✨,,0,null,9K,147,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DTzYd98j4Fn,https://www.instagram.com/Khushiiimalhotra/reel/DTzYd98j4Fn/,reel,Jan-22,2026-02-03T23:00:00+05:30,"The lehenga said main character 🔥. . . . . Lehanga from @_tailormade_ . . . . (getreadywithme, getready, fyp, Bollywood, 90s, kaitrina kaif, exploremore, browngirlbloggers, brown, browngirl, brownskingirls, weddingdress, weddingcollection, foryou, viral, trending, trendingreels ethnic, ethnicfashion) #explore #lehanga #grwm #browngirls",#explore #lehanga #grwm #browngirls,4,null,11.4K,356,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DTqCp54jwh1,https://www.instagram.com/Khushiiimalhotra/reel/DTqCp54jwh1/,reel,Jan-18,2026-02-03T23:00:00+05:30,‼️ Transition incoming ‼️ . . . . #transition #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #haryanvi #explore,#transition #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #haryanvi #explore,4,null,8.8K,56,null,visible_ui_only,,,,,,,,,,,,,,,,
